gene	process	chr	gene_function	ENSG
PYCR2	Amino Acid Metabolism	NA	pyrroline-5-carboxylate reductase activity	NA
QDPR	Amino Acid Metabolism	NA	6; 7-dihydropteridine reductase activity	NA
SCCPDH	Amino Acid Metabolism	NA	oxidoreductase activity	NA
SQRDL	Amino Acid Metabolism	NA	oxidoreductase activity	NA
SUOX	Amino Acid Metabolism	NA	electron carrier activity; heme binding; molybdenum ion binding; sulfite oxidase activity	NA
MCL1	Apoptosis	1	MCL1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000143384
CASP9	Apoptosis	1	CASP9: Initiator caspase recruited by Apoptosome	ENSG00000132906
BCL2L11	Apoptosis	2	BCL2L11: Bim Bcl-2 family member propagating apoptosis	ENSG00000153094
CASP3	Apoptosis	4	CASP3: Executioner caspases leading to apoptosis	ENSG00000164305
BAK1	Apoptosis	6	BAK1: Bcl-2 family member propagating apoptosis	ENSG00000030110
PPIA	Apoptosis	7	PPIA: Cyclophilin A might work with ENDOG in a DNA degradation complex	ENSG00000196262
DNM1	Apoptosis	9	DNM1: Recruited to mitochondria can induce cristae remodelling to release cytochrome c and subsequent apoptosis	ENSG00000106976
CASP7	Apoptosis	10	CASP7: Executioner caspases leading to apoptosis	ENSG00000165806
CDK1	Apoptosis	10	CDK1: Can Inhibit CASP9 activity and also involved in the phosphorylation of DNM1L to increase fission	ENSG00000170312
EIF3M	Apoptosis	11	EIF3M: PCI domain containing protein 1 can negatively regulate CASP9 activity	ENSG00000149100
APAF1	Apoptosis	12	APAF1: Binds CASP9 preprotein forming an apoptosome and activates it	ENSG00000120868
DIABLO	Apoptosis	12	DIABLO: Acts as caspase activator by inhibiting the inhibitors of apoptotic proteins	ENSG00000184047
ANP32A	Apoptosis	15	ANP32A: Enhances APAF1 function	ENSG00000140350
MAPK3	Apoptosis	16	MAPK3: Inhibitors of CASP9 activity	ENSG00000102882
TP53	Apoptosis	17	TP53: Directly binds both BAK and BAX and activates them	ENSG00000141510
BCL2	Apoptosis	18	BCL2: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171791
PMAIP1	Apoptosis	18	PMAIP1: Noxa Bcl-2 family member propagating apoptosis	ENSG00000141682
BAX	Apoptosis	19	BAX: Bcl-2 family member propagating apoptosis	ENSG00000087088
BBC3	Apoptosis	19	BBC3: Puma Bcl-2 family member propagating apoptosis	ENSG00000105327
BCL2L1	Apoptosis	20	BCL2L1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171552
MAPK1	Apoptosis	22	MAPK1: Inhibitors of CASP9 activity	ENSG00000100030
BIK	Apoptosis	22	BIK: Bcl-2 family member propagating apoptosis	ENSG00000100290
BID	Apoptosis	22	BID: Bcl-2 family member propagating apoptosis	ENSG00000015475
AIFM1	Apoptosis	NA	DNA binding; flavin adenine dinucleotide binding; oxidoreductase activity	NA
AIFM3	Apoptosis	NA	2 iron; 2 sulfur cluster binding; ferredoxin-NAD(P) reductase activity; flavin adenine dinucleotide binding; oxidoreductase activity	NA
AK2	Apoptosis	NA	adenylate kinase activity; ATP binding	NA
ALKBH7	Apoptosis	NA		NA
APOPT1	Apoptosis	NA		NA
BAD	Apoptosis	NA		NA
BNIP1	Apoptosis	NA	SNAP receptor activity	NA
BNIP3	Apoptosis	NA		NA
BNIP3L	Apoptosis	NA		NA
BOK	Apoptosis	NA	protein heterodimerization activity; protein homodimerization activity	NA
CASP2	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
CASP8	Apoptosis	NA	cysteine-type endopeptidase activity; endopeptidase activity; peptidase activator activity involved in apoptotic process; protein binding	NA
CLIC4	Apoptosis	NA	calcium ion binding; chloride channel activity; lipid binding	NA
CTSB	Apoptosis	NA	cysteine-type endopeptidase activity	NA
DNAJA3	Apoptosis	NA	ATP binding; heat shock protein binding; patched binding; unfolded protein binding	NA
DNM1L	Apoptosis	NA	GTP binding; GTPase activity	NA
DYNLL1	Apoptosis	NA	ATPase activity; coupled; dynein intermediate chain binding; microtubule motor activity; protein binding; protein homodimerization activity	NA
FAM162A	Apoptosis	NA		NA
FKBP8	Apoptosis	NA	FK506 binding; peptidyl-prolyl cis-trans isomerase activity	NA
GFER	Apoptosis	NA	flavin-linked sulfhydryl oxidase activity	NA
GHITM	Apoptosis	NA		NA
HINT2	Apoptosis	NA	nucleotidase activity	NA
HSPA1B	Apoptosis	NA	ATPase activity; chaperone binding; unfolded protein binding	NA
HTRA2	Apoptosis	NA	peptidase activity; serine-type endopeptidase activity	NA
LETMD1	Apoptosis	NA	ribosome binding	NA
MTCH1	Apoptosis	NA	transmembrane transporter activity	NA
MTCH2	Apoptosis	NA	transmembrane transporter activity	NA
NUDT6	Apoptosis	NA	hydrolase activity	NA
PACRG	Apoptosis	NA	G-protein coupled receptor binding	NA
PARL	Apoptosis	NA	serine-type endopeptidase activity	NA
PRELID1	Apoptosis	NA		NA
RPS6KB1	Apoptosis	NA	ATP binding; protein serine/threonine kinase activity; ribosomal protein S6 kinase activity	NA
TMEM173	Apoptosis	NA	cyclic-di-GMP binding	NA
TRAP1	Apoptosis	NA	ATP binding; ATPase activity; unfolded protein binding	NA
TRIAP1	Apoptosis	NA		NA
TSPO	Apoptosis	NA	benzodiazepine receptor activity	NA
VDAC1	Apoptosis	NA	voltage-gated anion channel activity	NA
VDAC2	Apoptosis	NA	voltage-gated anion channel activity	NA
VDAC3	Apoptosis	NA	voltage-gated anion channel activity	NA
XIAP	Apoptosis	X	XIAP: X-linked inhibitor of apoptosis protein inhibits caspase activity by directly binding to CASP9, 3 and 7	ENSG00000101966
AMACR	Bile Acid Synthesis	NA	alpha-methylacyl-CoA racemase activity	NA
CYP11A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP24A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27A1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
CYP27B1	Bile Acid Synthesis	NA	electron carrier activity; heme binding; iron ion binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen	NA
HSD17B4	Bile Acid Synthesis	NA	3R-hydroxyacyl-CoA dehydratase activity; enoyl-CoA hydratase activity; oxidoreductase activity; protein homodimerization activity	NA
SCP2	Bile Acid Synthesis	NA	acetyl-CoA C-acyltransferase activity; phospholipid transporter activity; sterol binding; transferase activity; transferring acyl groups other than amino-acyl groups	NA
STAR	Bile Acid Synthesis	NA	cholesterol binding; cholesterol transporter activity	NA
C22orf32	Calcium Signaling & Transport	NA		NA
EFHD1	Calcium Signaling & Transport	NA	calcium ion binding	NA
LETM1	Calcium Signaling & Transport	NA	calcium ion binding; calcium:sodium antiporter activity; potassium:hydrogen antiporter activity	NA
LETM2	Calcium Signaling & Transport	NA	calcium ion binding; calcium:sodium antiporter activity; potassium:hydrogen antiporter activity	NA
MCU	Calcium Signaling & Transport	NA	nucleic acid binding	NA
MICU1	Calcium Signaling & Transport	NA	calcium ion binding	NA
MICU2;EFHA1	Calcium Signaling & Transport	NA	calcium ion binding	NA
PPIF	Calcium Signaling & Transport	NA	cyclin-dependent protein serine/threonine kinase regulator activity; peptidyl-prolyl cis-trans isomerase activity	NA
SLC25A12	Calcium Signaling & Transport	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A13	Calcium Signaling & Transport	NA	calcium ion binding; transmembrane transporter activity	NA
STOML2	Calcium Signaling & Transport	NA		NA
TMEM65	Calcium Signaling & Transport	NA		NA
ITPR1	Calcium Signaling & Transport	3	ITPR1: Component of the Inositol-1,4,5-triphosphate receptors channels used for the fluxes of Ca2+ from ER to mitochondria	ENSG00000150995
CCDC109B	Calcium Signaling & Transport	4	CCDC109B: Forms a important component of mitochondrial calcium uniporter with MCU	ENSG00000005059
CCDC90A	Calcium Signaling & Transport	6	CCDC90A: Mitochondrial calcium uniporter regulator 1 required for the MCU dependent calcium uptake by the mitochondria	ENSG00000050393
ITPR3	Calcium Signaling & Transport	6	ITPR3: Component of the Inositol-1,4,5-triphosphate receptors channels used for the fluxes of Ca2+ from ER to mitochondria	ENSG00000096433
EFHA2	Calcium Signaling & Transport	8	EFHA2: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium depending upon the cytosolic calcium concentrations	ENSG00000155970
SIGMAR1	Calcium Signaling & Transport	9	SIGMAR1: Stabilises the Inositol-1,4,5-triphosphate receptors and ensures proper Ca2+ fluxes	ENSG00000147955
SLC24A6	Calcium Signaling & Transport	12	SLC24A6: Involved in the calcium homeostasis by counteracting the calcium accumaltion in the mitochondria	ENSG00000089060
ITPR2	Calcium Signaling & Transport	12	ITPR2: Component of the Inositol-1,4,5-triphosphate receptors channels used for the fluxes of Ca2+ from ER to mitochondria	ENSG00000123104
TCHP	Calcium Signaling & Transport	12	TCHP: Involved in the regulation of ER mitochondria juxtaposition	ENSG00000139437
EFHA1	Calcium Signaling & Transport	13	EFHA1: Regulates the mitochodrial calcium uniporter by inhibiting and permitting the calcium depending upon the cytosolic calcium concentrations	ENSG00000165487
PACS2	Calcium Signaling & Transport	14	PACS2: Involved in the control of ER mitochondria appositions	ENSG00000179364
PML	Calcium Signaling & Transport	15	PML: Regulates Inositol-1,4,5-triphosphate receptor mediated Ca2+ release from the ER	ENSG00000140464
CDS1	Cardiolipin Biosynthesis	4	CDS1: Converts phosphatidic acid to cytidine diphosphate diacylglycerol	ENSG00000163624
CRLS1	Cardiolipin Biosynthesis	NA	cardiolipin synthase activity; CDP-alcohol phosphatidyltransferase activity	NA
PGS1	Cardiolipin Biosynthesis	NA	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	NA
PLD6	Cardiolipin Biosynthesis	NA	cardiolipin hydrolase activity; cardiolipin synthase activity; endoribonuclease activity, producing 5Ã¢â‚¬â„¢-phosphomonoesters	NA
TAZ	Cardiolipin Biosynthesis	NA	phosphatidylcholine:cardiolipin O-linoleoyltransferase activity; transferase activity; transferring acyl groups	NA
C1orf31	Electron Transport Chain	1	C1orf31: COA6 Complex IV assembly factor	ENSG00000168275
SELRC1	Electron Transport Chain	1	SELRC1: COA7 Complex IV assembly factor	ENSG00000162377
COA5	Electron Transport Chain	2	COA5: Complex IV assembly factor	ENSG00000183513
C2orf56	Electron Transport Chain	2	C2orf56: NDUFAF7 methylates arginine 85 in the NDUFS2 subunit of human complex I	ENSG00000003509
NDUFC1	Electron Transport Chain	4	NDUFC1: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000109390
COX7B2	Electron Transport Chain	4	COX7B2: Cytochrome c oxidase subunit VIIb2 essential component of complex IV	ENSG00000170516
NDUFAF2	Electron Transport Chain	5	NDUFAF2: Required in the assembly of Complex I	ENSG00000164182
PTCD2	Electron Transport Chain	5	PTCD2: Complex III assembly factor, maturation and stabilization of cytochrome b mRNA	ENSG00000049883
MNF1	Electron Transport Chain	6	MNF1: Complex III assembly factor, ubiquinol-cytochrome c reductase complex assembly factor 2	ENSG00000137288
C7orf44	Electron Transport Chain	7	C7orf44: COA1 Complex IV assembly factor	ENSG00000106603
COX19	Electron Transport Chain	7	COX19: Complex IV assembly factor	ENSG00000240230
C8orf38	Electron Transport Chain	8	C8orf38: NDUFAF6 important role in the assembly of complex I	ENSG00000156170
CHCHD8	Electron Transport Chain	11	CHCHD8: COA4 Complex IV assembly factor	ENSG00000181924
TMEM126B	Electron Transport Chain	11	TMEM126B: Component of the mitochondrial complex I assembly complex	ENSG00000171204
ATP5G2	Electron Transport Chain	12	ATP5G2: ATP synthase H+ transporting mitochondrial Fo complex subunit C2 (subunit 9) essential component of complex V	ENSG00000135390
CCDC56	Electron Transport Chain	17	CCDC56: COA3 Complex IV assembly factor	ENSG00000183978
NDUFA3	Electron Transport Chain	19	NDUFA3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000170906
SDHAF1	Electron Transport Chain	19	SDHAF1: Essential for complex II assembly	ENSG00000205138
C20orf7	Electron Transport Chain	20	C20orf7: NDUFAF5 is required for complex I assembly	ENSG00000101247
NDUFV3	Electron Transport Chain	21	NDUFV3: Essential component of complex I transfers electrons from NADH to ubiquinone	ENSG00000160194
ACAD9	Electron Transport Chain	NA	flavin adenine dinucleotide binding; long-chain-acyl-CoA dehydrogenase activity	NA
ACN9	Electron Transport Chain	NA		NA
ADCK1	Electron Transport Chain	NA	ATP binding; protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK3	Electron Transport Chain	NA	protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK4	Electron Transport Chain	NA	protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ADCK5	Electron Transport Chain	NA	ATP binding; protein kinase activity; transferase activity; transferring phosphorus-containing groups	NA
ATP5A1	Electron Transport Chain	NA	ATP binding; hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5B	Electron Transport Chain	NA	ATP binding; hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5C1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5D	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5E	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism; proton-transporting ATPase activity; rotational mechanism	NA
ATP5F1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5G1	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5G3	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5H	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5I	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5J	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity; hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5J2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5L	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5L2	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5O	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP5S	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP5SL	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism	NA
ATP6	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATP6V1E1	Electron Transport Chain	NA	proton-transporting ATPase activity; rotational mechanism	NA
ATP8	Electron Transport Chain	NA	hydrogen-exporting ATPase activity; phosphorylative mechanism; proton-transporting ATP synthase activity; rotational mechanism	NA
ATPAF1	Electron Transport Chain	NA		NA
ATPAF2	Electron Transport Chain	NA		NA
ATPIF1	Electron Transport Chain	NA	enzyme inhibitor activity	NA
BCS1L	Electron Transport Chain	NA	ATP binding; ATPase activity	NA
C2orf47	Electron Transport Chain	NA	protein binding	NA
C6orf57	Electron Transport Chain	NA		NA
C7orf55	Electron Transport Chain	NA		NA
CISD1	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CISD2	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CISD3	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding	NA
CMC1	Electron Transport Chain	NA	copper ion binding	NA
Coa1	Electron Transport Chain	NA	RNA binding; structural constituent of ribosome	NA
COA3	Electron Transport Chain	NA		NA
COA6	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COQ10A	Electron Transport Chain	NA	ubiquinone binding	NA
COQ10B	Electron Transport Chain	NA	ubiquinone binding	NA
COX1	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity; heme binding; iron ion binding	NA
COX10	Electron Transport Chain	NA	protoheme IX farnesyltransferase activity	NA
COX11	Electron Transport Chain	NA	procollagen-lysine 5-dioxygenase activity; copper ion binding	NA
COX14	Electron Transport Chain	NA		NA
COX15	Electron Transport Chain	NA	oxidoreductase activity; acting on the CH-CH group of donors	NA
COX16	Electron Transport Chain	NA		NA
COX17	Electron Transport Chain	NA	copper chaperone activity	NA
COX18	Electron Transport Chain	NA		NA
COX2	Electron Transport Chain	NA	copper ion binding; cytochrome-c oxidase activity	NA
COX20	Electron Transport Chain	NA		NA
COX3	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX4I1	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX4I2	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX5A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX5B	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6A1	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
COX6A2	Electron Transport Chain	NA	cytochrome-c oxidase activity; enzyme regulator activity	NA
COX6B1	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6B2	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX6C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX7A1	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7A2	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7A2L	Electron Transport Chain	NA	cytochrome-c oxidase activity; electron carrier activity	NA
COX7C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX8A	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
COX8C	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
CYC1	Electron Transport Chain	NA	electron transporter; transferring electrons within CoQH2-cytochrome c reductase complex activity; heme binding; iron ion binding	NA
CYCS	Electron Transport Chain	NA	electron carrier activity; electron transporter; transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity; heme binding; iron ion binding	NA
CYTB	Electron Transport Chain	NA	electron carrier activity; oxidoreductase activity; ubiquinol-cytochrome-c reductase activity	NA
D2HGDH	Electron Transport Chain	NA	flavin adenine dinucleotide binding; UDP-N-acetylmuramate dehydrogenase activity	NA
ECSIT	Electron Transport Chain	NA	protein binding	NA
ETFA	Electron Transport Chain	NA	electron carrier activity; flavin adenine dinucleotide binding	NA
ETFB	Electron Transport Chain	NA	electron carrier activity	NA
ETFDH	Electron Transport Chain	NA	electron-transferring-flavoprotein dehydrogenase activity	NA
FASTK	Electron Transport Chain	NA	protein kinase activity	NA
FASTKD1	Electron Transport Chain	NA	protein kinase activity	NA
FASTKD3	Electron Transport Chain	NA	protein kinase activity	NA
FOXRED1	Electron Transport Chain	NA	oxidoreductase activity	NA
GBAS	Electron Transport Chain	NA		NA
GPD1	Electron Transport Chain	NA	DNA binding; glycerol-3-phosphate dehydrogenase [NAD+] activity; NAD binding; protein homodimerization activity	NA
GPD2	Electron Transport Chain	NA	calcium ion binding; glycerol-3-phosphate dehydrogenase activity	NA
HCCS	Electron Transport Chain	NA	holocytochrome-c synthase activity	NA
HIGD1A	Electron Transport Chain	NA		NA
HIGD2A	Electron Transport Chain	NA		NA
LYRM5	Electron Transport Chain	NA		NA
LYRM7	Electron Transport Chain	NA		NA
ND1	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND3	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND4L	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; oxidoreductase activity; acting on NAD(P)H	NA
ND5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFA1	Electron Transport Chain	NA		NA
NDUFA10	Electron Transport Chain	NA	ATP binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity; phosphotransferase activity; alcohol group as acceptor	NA
NDUFA11	Electron Transport Chain	NA	ligand Ubiquinone	NA
NDUFA12	Electron Transport Chain	NA	electron carrier activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA13	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFA2	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
