gene	process	chr	gene_function	ENSG
Gpdh	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase [NAD+] activity ; GO:0004367	NA
Nipsnap	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG17904	Electron Transport Chain	NA	iron-sulfur cluster binding ; GO:0051536	NA
CG3270	Electron Transport Chain	NA	oxidoreductase activity ; GO:0016491	NA
l(2)37Bb	Electron Transport Chain	NA	oxidoreductase activity ; GO:0016491	NA
CG17221	Electron Transport Chain	NA	oxidoreductase activity ; GO:0016491	NA
CG31915	Electron Transport Chain	NA	-	NA
CG6000	Electron Transport Chain	NA	-	NA
Etf-QO	Electron Transport Chain	NA	electron-transferring-flavoprotein dehydrogenase activity ; GO:0004174	NA
CG4942	Electron Transport Chain	NA	-	NA
CG13551	Electron Transport Chain	NA	ATPase inhibitor activity ; GO:0042030	NA
CG34423	Electron Transport Chain	NA	ATPase inhibitor activity ; GO:0042030	NA
CG9350	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
l(2)k14505	Electron Transport Chain	NA	-	NA
CG5569	Electron Transport Chain	NA	-	NA
Ccdc56	Electron Transport Chain	NA	-	NA
CG11562	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG17996	Electron Transport Chain	NA	copper ion binding ; GO:0005507	NA
CG14898	Electron Transport Chain	NA	-	NA
CG10340	Electron Transport Chain	NA	-	NA
CG12895	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG7598	Electron Transport Chain	NA	unfolded protein binding ; GO:0051082	NA
Ttc19	Electron Transport Chain	NA	-	NA
CG14757	Electron Transport Chain	NA	copper ion binding ; GO:0005507	NA
CG11825	Electron Transport Chain	NA	-	NA
CG9410	Electron Transport Chain	NA	-	NA
CG17734	Electron Transport Chain	NA	-	NA
CG40002	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG40472	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG1458	Electron Transport Chain	NA	2 iron, 2 sulfur cluster binding ; GO:0051537	NA
RFeSP	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG11423	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
CG9140	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG8102	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG9172	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG2014	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG4908	Electron Transport Chain	NA	ATP binding ; GO:0005524	NA
blw	Electron Transport Chain	NA	ATP binding ; GO:0005524	NA
CG3262	Electron Transport Chain	NA	ATP binding ; GO:0005524	NA
CG2137	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase activity ; GO:0004368	NA
Gpo-1	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase activity ; GO:0004368	NA
CG6020	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG9065	Electron Transport Chain	NA	copper chaperone activity ; GO:0016531	NA
Scox	Electron Transport Chain	NA	copper chaperone activity ; GO:0016531	NA
CG31648	Electron Transport Chain	NA	copper ion binding ; GO:0005507	NA
mt:CoII	Electron Transport Chain	NA	copper ion binding ; GO:0005507	NA
CG11043	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG10396	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG14077	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
cype	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG18809	Electron Transport Chain	NA	-	NA
mt:CoIII	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG30093	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG42376	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG18193	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG9603	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG34172	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
mt:CoI	Electron Transport Chain	NA	heme binding ; GO:0020037	NA
levy	Electron Transport Chain	NA	cytochrome-c oxidase activity ; GO:0004129	NA
CG7834	Electron Transport Chain	NA	electron carrier activity ; GO:0009055	NA
Cyt-c-d	Electron Transport Chain	NA	electron carrier activity ; GO:0009055	NA
Cyt-c-p	Electron Transport Chain	NA	heme binding ; GO:0020037	NA
ND75	Electron Transport Chain	NA	iron-sulfur cluster binding ; GO:0051536	NA
CG3214	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
mt:Cyt-b	Electron Transport Chain	NA	electron carrier activity ; GO:0009055	NA
SdhC	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity ; GO:0008177	NA
CG14482	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG4769	Electron Transport Chain	NA	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity ; GO:0045153	NA
CG14508	Electron Transport Chain	NA	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity ; GO:0045153	NA
CG5718	Electron Transport Chain	NA	flavin adenine dinucleotide binding ; GO:0050660	NA
CG3835	Electron Transport Chain	NA	(R)-2-hydroxyglutarate dehydrogenase activity ; GO:0051990	NA
CG3215	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase [NAD+] activity ; GO:0004367	NA
CG7311	Electron Transport Chain	NA	glycerol-3-phosphate dehydrogenase activity ; GO:0004368	NA
Surf1	Electron Transport Chain	NA	heme transporter activity ; GO:0015232	NA
Cchl	Electron Transport Chain	NA	holocytochrome-c synthase activity ; GO:0004408	NA
Neb-cGP	Electron Transport Chain	NA	hormone activity ; GO:0005179	NA
CG12027	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity ; GO:0015078	NA
mt:ATPase8	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity ; GO:0015078	NA
CG7211	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
CG7813	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity ; GO:0015078	NA
CG4692	Electron Transport Chain	NA	ATPase activity ; GO:0016887	NA
CG3321	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
CG1746	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
CG10731	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
mt:ATPase6	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
sun	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
CG31477	Electron Transport Chain	NA	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933	NA
CG3731	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG4169	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG7506	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG11722	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG17726	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
NP15.6	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
l(3)87Df	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG34439	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
sicily	Electron Transport Chain	NA	transferase activity ; GO:0016740	NA
CG11913	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG1970	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG12203	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
CG8680	Electron Transport Chain	NA	-	NA
CG6914	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
mt:ND1	Electron Transport Chain	NA	-	NA
mt:ND2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
mt:ND3	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
mt:ND4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
mt:ND5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
mt:ND6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity ; GO:0008137	NA
CG3621	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG3192	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG5548	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG5703	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG12400	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG9306	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG7712	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG12859	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG6463	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
CG6485	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
mt:ND4L	Electron Transport Chain	NA	oxidoreductase activity, acting on NAD(P)H ; GO:0016651	NA
CG3446	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG18624	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG11455	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG10320	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG15434	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG32230	Electron Transport Chain	NA	NADH dehydrogenase activity ; GO:0003954	NA
CG3803	Electron Transport Chain	NA	oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627	NA
CG3776	Electron Transport Chain	NA	protein binding ; GO:0005515	NA
CG32649	Electron Transport Chain	NA	protein kinase activity ; GO:0004672	NA
CG6404	Electron Transport Chain	NA	-	NA
CG5037	Electron Transport Chain	NA	protoheme IX farnesyltransferase activity ; GO:0008495	NA
CG17300	Electron Transport Chain	NA	hydrogen ion transmembrane transporter activity ; GO:0015078	NA
VhaAC45	Electron Transport Chain	NA	proton-transporting ATPase activity, rotational mechanism ; GO:0046961	NA
Vha26	Electron Transport Chain	NA	proton-transporting ATPase activity, rotational mechanism ; GO:0046961	NA
CG10219	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity ; GO:0008177	NA
CG3560	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG17856	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
ox	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG30354	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG7580	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity ; GO:0008121	NA
CG4858	Electron Transport Chain	NA	ATP binding ; GO:0005524	NA
CG8067	Electron Transport Chain	NA	methyltransferase activity ; GO:0008168	NA
hd	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
wal	Electron Transport Chain	NA	electron carrier activity ; GO:0009055	NA
Egm	Electron Transport Chain	NA	oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627	NA
CG15653	Electron Transport Chain	NA	-	NA
CG15458	Electron Transport Chain	NA	molecular_function ; GO:0003674	NA
SdhB	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity ; GO:0008177	NA
CG7349	Electron Transport Chain	NA	oxidoreductase activity ; GO:0016491	NA
SdhA	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity ; GO:0008177	NA
CG3523	Fatty Acid Biosynthesis	NA	oleoyl-[acyl-carrier-protein] hydrolase activity ; GO:0004320	NA
CG17374	Fatty Acid Biosynthesis	NA	transferase activity ; GO:0016740	NA
CG3961	Fatty Acid Biosynthesis	NA	long-chain fatty acid-CoA ligase activity ; GO:0004467	NA
CG6984	Fatty Acid Biosynthesis	NA	catalytic activity ; GO:0003824	NA
CG16985	Fatty Acid Biosynthesis	NA	acyl-CoA hydrolase activity ; GO:0047617	NA
CG16986	Fatty Acid Biosynthesis	NA	acyl-CoA hydrolase activity ; GO:0047617	NA
CG3699	Fatty Acid Biosynthesis	NA	2,4-dienoyl-CoA reductase (NADPH) activity ; GO:0008670	NA
CG9993	Fatty Acid Biosynthesis	NA	catalytic activity ; GO:0003824	NA
CG12170	Fatty Acid Biosynthesis	NA	transferase activity, transferring acyl groups other than amino-acyl groups ; GO:0016747	NA
beg	Fatty Acid Biosynthesis	NA	[acyl-carrier-protein] S-malonyltransferase activity ; GO:0004314	NA
Tpc1	Fatty Acid Biosynthesis	NA	thiamine pyrophosphate-transporting ATPase activity ; GO:0015619	NA
CG9149	Fatty Acid Degradation	NA	acetyl-CoA C-acyltransferase activity ; GO:0003988	NA
Aldh	Fatty Acid Degradation	NA	aldehyde dehydrogenase (NAD) activity ; GO:0004029	NA
CG31075	Fatty Acid Degradation	NA	aldehyde dehydrogenase (NAD) activity ; GO:0004029	NA
CG5009	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
CG17544	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
Aldh-III	Fatty Acid Degradation	NA	aldehyde dehydrogenase [NAD(P)+] activity ; GO:0004030	NA
whd	Fatty Acid Degradation	NA	transferase activity, transferring acyl groups ; GO:0016746	NA
Acsl	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity ; GO:0004467	NA
CG5611	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
CG5844	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
bgm	Fatty Acid Degradation	NA	long-chain fatty acid-CoA ligase activity ; GO:0004467	NA
CG9547	Fatty Acid Degradation	NA	glutaryl-CoA dehydrogenase activity ; GO:0004361	NA
CG2107	Fatty Acid Degradation	NA	transferase activity, transferring acyl groups ; GO:0016746	NA
CG3902	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
CG12262	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
CG4860	Fatty Acid Degradation	NA	flavin adenine dinucleotide binding ; GO:0050660	NA
Arc42	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
CG9577	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
CG4598	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
CG4594	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
CG4592	Fatty Acid Degradation	NA	catalytic activity ; GO:0003824	NA
CG7461	Fatty Acid Degradation	NA	acyl-CoA dehydrogenase activity ; GO:0003995	NA
Adh	Fatty Acid Degradation	NA	alcohol dehydrogenase (NAD) activity ; GO:0004022	NA
